label,units,accuracy,precision,expectedRange,sampleCollectionMethod,sampleContainer,sampleVolume,samplePreservation,maxHoldingTime,mdl,accuracyChecks,precisionChecks,percentFieldQC,instrument,typeOfInspection,calibrationFrequency,calibrationStandard,correctiveAction,checkDescription,frequency,acceptanceCriteria,correctiveActions
Ammonia-N - EPA 350.1,mg/L,80%-120% recovery of lab fortified matrix (LFM),0.01 or 20%,0-0.5,Manual grab sample,HDPE bottles pre-cleaned,500 ml,"4 °C, dark",Delivered to lab and filtered immediately or within 28 days if frozen (-10 °C),0.02,Field: blanks,Field: duplicates,10%,,,,,,,,,
Ammonia-N - SM 4500-NH3,mg/L,80%-120% recovery of lab fortified matrix (LFM),0.01 or 20%,0-0.5,Manual grab sample,HDPE bottles pre-cleaned,500 ml,"4 °C, dark",Delivered to lab and filtered immediately or within 28 days if frozen (-10 °C),0.02,Field: blanks,Field: duplicates,10%,,,,,,,,,
Chloride - SM 4500-CL,mg/L,90%-110% recovery for QC std. and lab fortified matrix (LFM),20%,0-100,Manual grab sample,HDPE bottles pre-cleaned,500 ml,4°C in dark,28 days if frozen (-10 °C),BLANK,Field: blanks,Field: duplicates,10%,,,,,,,,,
Chlorophyll-a - EPA 445.0,µg/L,75-125% for QC std.,2.0 or 20% RPD,0-100,Manual grab sample,HDPE bottles pre-cleaned,1000 ml,4°C in dark,Filtered and frozen 21 days; unfiltered 24 hr,1 µg/l,Commercial audit samples,Field duplicates,10%,,,,,,,,,
Chlorophyll-a - SM 10200-H,µg/L,75-125% for QC std.,2.0 or 20% RPD,0-100,Manual grab sample,HDPE bottles pre-cleaned,1000 ml,4°C in dark,Filtered and frozen 21 days; unfiltered 24 hr,1 µg/l,Commercial audit samples,Field duplicates,10%,,,,,,,,,
Conductivity - conductivity meter,µS/cm,1% of range,5%,10-1000 for freshwater,Single-parameter unit,-,-,-,-,,"Field blanks, QC std",Field duplicates,10%,Conductivity sensor,Battery life,Before each monitoring event,Certified inspection stds,Adjust and recalibrate,Internal electronic check if equipped; if not check against Quality Check Solution,At the beginning and end of each day,Alignment with instrument manufacturer's specifications,AM: Re-calibrate. PM: Flag day's data. Instrument may need repair.
Conductivity - multi-parameter probe meter,µS/cm,1% of range,5%,10-1000 for freshwater,Multi-parameter unit,-,-,-,-,,"Pre- and post-survey calibration including ""zero"" DO std. check",3-5 minute of stable readings recorded,Verify repeatability in the field,Multi-parameter sensor,"Battery life, electrolyte, probe integrity",Before each monitoring event,Std. solutions,According to manufacturer's instructions,Internal electronic check if equipped; if not check against Quality Check Solution,At the beginning and end of each day,Alignment with instrument manufacturer's specifications,AM: Re-calibrate. PM: Flag day's data. Instrument may need repair.
Dissolved oxygen - DO meter,mg/L,± 0.2 (post-field check against 100% saturation),± 0.2 or <20% (between field duplicate samples or readings),0-12,Single-parameter unit,-,-,-,-,,"Pre- and post-survey calibration; ""Zero"" DO standard check",3-5 minutes of stable readings recorded; Field duplicates,10%,Dissolved oxygen sensor,"Battery life, electrical connections, membrane condition",Before each monitoring event,Saturated air and zero-DO (<0.5 mg/L),According to manufacturer's recommendations; replace membrane,Check DO calibration in field against atmospheric standard (ambient air saturated with water),At the beginning and end of each day,Alignment with instrument manufacturer's specifications or ± 1.0 mg/L,AM: Re-calibrate; PM: Flag day's data. Change membrane.
Dissolved oxygen - multi-parameter probe meter,mg/L,± 0.2 (post-field check against 100% saturation),± 0.2 or <20% (between field duplicate samples or readings),0-12,Multi-parameter unit,-,-,-,-,,"Pre- and post-survey calibration including ""zero"" DO std. check",3-5 minute of stable readings recorded,Verify repeatability in the field,Multi-parameter sensor,"Battery life, electrolyte, probe integrity, membrane condition (DO)",Before each monitoring event,Std. solutions,According to manufacturer's instructions. DO: replace membrane or correct probe.,Check DO calibration in field against atmospheric standard (ambient air saturated with water),At the beginning and end of each day,Alignment with instrument manufacturer's specifications or ± 1.0 mg/L,AM: Re-calibrate; PM: Flag day's data. Change membrane.
Dissolved oxygen - SM 4500-O,mg/L,± 0.5 mg/L,<20% RPD,0-12,Winkler bottle or reagent kit,"""BOD"" bottle or opaque bottle",300 ml,"Fix immediately, refrigerate/chill to 4°C in dark",8 hrs,0.2 mg/L,Compare with blind QC standards (preferred) or known QC or calibration standards,Field duplicates,10%,,,,,,,,,
