label,concern
Ammonia-N - EPA 350.1,Eutrophication (Nutrients)
Ammonia-N - EPA 350.1,Stormwater
Ammonia-N - EPA 350.1,Illicit Connections
Ammonia-N - EPA 350.1,Eutrophication (Nutrients)
Ammonia-N - EPA 350.1,Stormwater
Ammonia-N - EPA 350.1,Illicit Connections
Ammonia-N - SM 4500-NH3,Eutrophication (Nutrients)
Ammonia-N - SM 4500-NH3,Stormwater
Ammonia-N - SM 4500-NH3,Illicit Connections
Ammonia-N - SM 4500-NH3,Eutrophication (Nutrients)
Ammonia-N - SM 4500-NH3,Stormwater
Ammonia-N - SM 4500-NH3,Illicit Connections
Benthic algal biomass - Viewing bucket,General Environmental Health: Benthic
Chloride - SM 4500-CL,Illicit Connections
Chlorophyll-a - EPA 445.0,Eutrophication (Nutrients)
Chlorophyll-a - EPA 445.0,Eutrophication (Nutrients)
Chlorophyll-a - SM 10200-H,Eutrophication (Nutrients)
Chlorophyll-a - SM 10200-H,Eutrophication (Nutrients)
Conductivity - conductivity meter,General Environmental Health: Physical/Chemical Water Quality
Conductivity - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
Dissolved oxygen - DO meter,General Environmental Health: Physical/Chemical Water Quality
Dissolved oxygen - DO meter,Eutrophication (Nutrients)
Dissolved oxygen - DO meter,General Environmental Health: Physical/Chemical Water Quality
Dissolved oxygen - DO meter,Eutrophication (Nutrients)
Dissolved oxygen - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
Dissolved oxygen - multi-parameter probe meter,Eutrophication (Nutrients)
Dissolved oxygen - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
Dissolved oxygen - multi-parameter probe meter,Eutrophication (Nutrients)
Dissolved oxygen - SM 4500-O,General Environmental Health: Physical/Chemical Water Quality
Dissolved oxygen - SM 4500-O,Eutrophication (Nutrients)
Dissolved oxygen - SM 4500-O,General Environmental Health: Physical/Chemical Water Quality
Dissolved oxygen - SM 4500-O,Eutrophication (Nutrients)
E. coli - EPA 1603,General Environmental Health: Physical/Chemical Water Quality
E. coli - EPA 1603,Recreation (Swimming and/or Boating)
E. coli - EPA 1603,Stormwater
E. coli - EPA 1603,Illicit Connections
E. coli - SM 9223-B,General Environmental Health: Physical/Chemical Water Quality
E. coli - SM 9223-B,Recreation (Swimming and/or Boating)
E. coli - SM 9223-B,Stormwater
E. coli - SM 9223-B,Illicit Connections
Enterococci - EPA 1600,General Environmental Health: Physical/Chemical Water Quality
Enterococci - EPA 1600,Recreation (Swimming and/or Boating)
Enterococci - EPA 1600,Stormwater
Enterococci - EPA 1600,Illicit Connections
Enterococci - SM 9230,General Environmental Health: Physical/Chemical Water Quality
Enterococci - SM 9230,Recreation (Swimming and/or Boating)
Enterococci - SM 9230,Stormwater
Enterococci - SM 9230,Illicit Connections
Sediment volume - Sediment grab samples,General Environmental Health: Benthic
Grain size - Sediment grab samples,General Environmental Health: Benthic
Infauna - Sediment grab samples,General Environmental Health: Benthic
Macroinvertebrates - Kick sampling,General Environmental Health: Benthic
Macroinvertebrates - Rock baskets,General Environmental Health: Benthic
Microcystins - EPA 546 or ELISA-ADDA,Harmful Algal Blooms (HABs) (Algal Toxins)
Microcystins - EPA 546 or ELISA-ADDA,Harmful Algal Blooms (HABs) (Algal Toxins)
Microcystins - in situ,Harmful Algal Blooms (HABs) (Algal Toxins)
Microcystins - in situ,Harmful Algal Blooms (HABs) (Algal Toxins)
Nitrate-Nitrite-N - EPA 353.2,Eutrophication (Nutrients)
Nitrate-Nitrite-N - EPA 353.2,Illicit Connections
Nitrate-Nitrite-N - EPA 353.2,Eutrophication (Nutrients)
Nitrate-Nitrite-N - EPA 353.2,Illicit Connections
Nitrate-Nitrite-N - SM 4500-NO3,Eutrophication (Nutrients)
Nitrate-Nitrite-N - SM 4500-NO3,Illicit Connections
Nitrate-Nitrite-N - SM 4500-NO3,Eutrophication (Nutrients)
Nitrate-Nitrite-N - SM 4500-NO3,Illicit Connections
Orthophosphate - EPA 365.5,Eutrophication (Nutrients)
Orthophosphate - EPA 365.5,Illicit Connections
Orthophosphate - EPA 365.5,Eutrophication (Nutrients)
Orthophosphate - EPA 365.5,Illicit Connections
Orthophosphate - SM 4500-P,Eutrophication (Nutrients)
Orthophosphate - SM 4500-P,Illicit Connections
Orthophosphate - SM 4500-P,Eutrophication (Nutrients)
Orthophosphate - SM 4500-P,Illicit Connections
Orthophosphate - USGS 1-4650-03,Eutrophication (Nutrients)
Orthophosphate - USGS 1-4650-03,Illicit Connections
Orthophosphate - USGS 1-4650-03,Eutrophication (Nutrients)
Orthophosphate - USGS 1-4650-03,Illicit Connections
Oxygen saturation - DO meter,General Environmental Health: Physical/Chemical Water Quality
Oxygen saturation - DO meter,Eutrophication (Nutrients)
Oxygen saturation - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
Oxygen saturation - multi-parameter probe meter,Eutrophication (Nutrients)
pH - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
pH - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
pH - multi-parameter probe meter,Acidification
pH - pH meter,General Environmental Health: Physical/Chemical Water Quality
pH - pH meter,General Environmental Health: Physical/Chemical Water Quality
pH - pH meter,Acidification
Salinity - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
