refConcernId,refParameterId
2,1
6,1
3,1
2,2
6,2
3,2
2,3
6,3
3,3
2,4
6,4
3,4
4,5
3,6
2,7
2,8
2,9
2,10
1,11
1,12
1,13
2,13
1,14
2,14
1,15
2,15
1,16
2,16
1,17
7,17
6,17
3,17
1,18
7,18
6,18
3,18
1,19
7,19
6,19
3,19
1,20
7,20
6,20
3,20
4,21
4,22
4,23
4,24
4,25
5,26
5,27
5,28
5,29
5,30
5,31
2,32
3,32
2,33
3,33
2,34
3,34
2,35
3,35
2,36
3,36
2,37
3,37
2,38
3,38
2,39
3,39
1,40
2,40
1,41
2,41
1,42
1,43
8,43
1,44
1,45
8,45
1,46
1,47
4,48
4,49
1,50
1,51
4,52
1,53
1,54
1,55
1,56
2,57
3,57
2,58
3,58
2,59
3,59
2,60
3,60
2,61
3,61
2,62
3,62
4,63
2,64
3,64
2,65
3,66
2,67
3,67
2,68
3,68
2,69
3,69
1,70
3,70
1,71
3,71
1,72
3,72
1,73
3,73
1,74
2,74
1,75
2,75
1,76
2,76
1,77
2,77
1,78
2,78
1,79
2,79
1,80
2,80
1,81
2,81
1,82
2,82
