id,label,parameter,method,waterType,fresh,salt,monitoringCategory
1,Ammonia-N - EPA 350.1,Ammonia-N,EPA 350.1,Freshwater,TRUE,FALSE,Freshwater Water Quality
2,Ammonia-N - EPA 350.1,Ammonia-N,EPA 350.1,Saltwater,FALSE,TRUE,Saltwater Water Quality
3,Ammonia-N - SM 4500-NH3,Ammonia-N,SM 4500-NH3,Freshwater,TRUE,FALSE,Freshwater Water Quality
4,Ammonia-N - SM 4500-NH3,Ammonia-N,SM 4500-NH3,Saltwater,FALSE,TRUE,Saltwater Water Quality
5,Benthic algal biomass - Viewing bucket,Benthic algal biomass,Viewing bucket,Freshwater,TRUE,FALSE,Freshwater Benthic
6,Chloride - SM 4500-CL,Chloride,SM 4500-CL,Freshwater,TRUE,FALSE,Freshwater Water Quality
7,Chlorophyll-a - EPA 445.0,Chlorophyll-a,EPA 445.0,Freshwater,TRUE,FALSE,Freshwater Water Quality
8,Chlorophyll-a - EPA 445.0,Chlorophyll-a,EPA 445.0,Saltwater,FALSE,TRUE,Saltwater Water Quality
9,Chlorophyll-a - SM 10200-H,Chlorophyll-a,SM 10200-H,Freshwater,TRUE,FALSE,Freshwater Water Quality
10,Chlorophyll-a - SM 10200-H,Chlorophyll-a,SM 10200-H,Saltwater,FALSE,TRUE,Saltwater Water Quality
11,Conductivity - conductivity meter,Conductivity,Conductivity meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
12,Conductivity - multi-parameter probe meter,Conductivity,Multi-parameter probe meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
13,Dissolved oxygen - DO meter,Dissolved oxygen,DO meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
14,Dissolved oxygen - DO meter,Dissolved oxygen,DO meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
15,Dissolved oxygen - multi-parameter probe meter,Dissolved oxygen,Multi-parameter probe meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
16,Dissolved oxygen - multi-parameter probe meter,Dissolved oxygen,Multi-parameter probe meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
17,E. coli - EPA 1603,E. coli,EPA 1603,Freshwater,TRUE,FALSE,Freshwater Water Quality
18,E. coli - SM 9223-B,E. coli,SM 9223-B,Freshwater,TRUE,FALSE,Freshwater Water Quality
19,Enterococci - EPA 1600,Enterococci,EPA 1600,Saltwater,FALSE,TRUE,Saltwater Water Quality
20,Enterococci - SM 9230,Enterococci,SM 9230,Saltwater,FALSE,TRUE,Saltwater Water Quality
21,Grab sample volume - Sediment grab samples,Grab sample volume,Sediment grab samples,Saltwater,FALSE,TRUE,Saltwater Benthic
22,Grain size - Sediment grab samples,Grain size,Sediment grab samples,Saltwater,FALSE,TRUE,Saltwater Benthic
23,Infauna - Sediment grab samples,Infauna,Sediment grab samples,Saltwater,FALSE,TRUE,Saltwater Benthic
24,Macroinvertebrates - Kick sampling,Macroinvertebrates,Kick sampling,Freshwater,TRUE,FALSE,Freshwater Benthic
25,Macroinvertebrates - Rock baskets,Macroinvertebrates,Rock baskets,Freshwater,TRUE,FALSE,Freshwater Benthic
26,Microcystins - EPA 544,Microcystins,EPA 544,Freshwater,TRUE,FALSE,Freshwater Water Quality
27,Microcystins - EPA 544,Microcystins,EPA 544,Saltwater,FALSE,TRUE,Saltwater Water Quality
28,Microcystins - EPA 546,Microcystins,EPA 546,Freshwater,TRUE,FALSE,Freshwater Water Quality
29,Microcystins - EPA 546,Microcystins,EPA 546,Saltwater,FALSE,TRUE,Saltwater Water Quality
30,Microcystins - in situ,Microcystins,in situ,Freshwater,TRUE,FALSE,Freshwater Water Quality
31,Microcystins - in situ,Microcystins,in situ,Saltwater,FALSE,TRUE,Saltwater Water Quality
32,Nitrate-Nitrite-N - EPA 353.2,Nitrate-Nitrite-N,EPA 353.2,Freshwater,TRUE,FALSE,Freshwater Water Quality
33,Nitrate-Nitrite-N - EPA 353.2,Nitrate-Nitrite-N,EPA 353.2,Saltwater,FALSE,TRUE,Saltwater Water Quality
34,Nitrate-Nitrite-N - SM 4500-NO3,Nitrate-Nitrite-N,SM 4500-NO3,Freshwater,TRUE,FALSE,Freshwater Water Quality
35,Nitrate-Nitrite-N - SM 4500-NO3,Nitrate-Nitrite-N,SM 4500-NO3,Saltwater,FALSE,TRUE,Saltwater Water Quality
36,Orthophosphate - EPA 365.5,Orthophosphate,EPA 365.5,Freshwater,TRUE,FALSE,Freshwater Water Quality
37,Orthophosphate - EPA 365.5,Orthophosphate,EPA 365.5,Saltwater,FALSE,TRUE,Saltwater Water Quality
38,Orthophosphate - SM 4500-P,Orthophosphate,SM 4500-P,Freshwater,TRUE,FALSE,Freshwater Water Quality
39,Orthophosphate - SM 4500-P,Orthophosphate,SM 4500-P,Saltwater,FALSE,TRUE,Saltwater Water Quality
40,Orthophosphate - USGS 1-4650-03,Orthophosphate,USGS 1-4650-03,Freshwater,TRUE,FALSE,Freshwater Water Quality
41,Orthophosphate - USGS 1-4650-03,Orthophosphate,USGS 1-4650-03,Saltwater,FALSE,TRUE,Saltwater Water Quality
42,Oxygen saturation - DO meter,Oxygen saturation,DO meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
43,Oxygen saturation - multi-parameter probe meter,Oxygen saturation,Multi-parameter probe meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
44,pH - multi-parameter probe meter,pH,Multi-parameter probe meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
45,pH - multi-parameter probe meter,pH,Multi-parameter probe meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
46,pH - pH meter,pH,pH meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
47,pH - pH meter,pH,pH meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
48,Salinity - multi-parameter probe meter,Salinity,Multi-parameter probe meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
49,Salinity - salinity meter,Salinity,Salinity meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
50,Sample penetration depth - Sediment grab samples,Sample penetration depth,Sediment grab samples,Saltwater,FALSE,TRUE,Saltwater Benthic
51,Sediment texture - Sediment grab samples,Sediment texture,Sediment grab samples,Saltwater,FALSE,TRUE,Saltwater Benthic
52,Station depth - in situ,Station depth,in situ,Freshwater,TRUE,FALSE,Freshwater Water Quality
53,Station depth - in situ,Station depth,in situ,Saltwater,FALSE,TRUE,Saltwater Water Quality
54,Stream characteristics - Physical habitat assessment,Stream characteristics,Physical habitat assessment,Freshwater,TRUE,FALSE,Freshwater Benthic
55,Temperature - multi-parameter probe meter,Temperature,Multi-parameter probe meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
56,Temperature - multi-parameter probe meter,Temperature,Multi-parameter probe meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
57,Temperature - thermometer,Temperature,Thermometer,Freshwater,TRUE,FALSE,Freshwater Water Quality
58,Temperature - thermometer,Temperature,Thermometer,Saltwater,FALSE,TRUE,Saltwater Water Quality
59,Total Kjeldahl nitrogen - EPA 351.2,Total Kjeldahl nitrogen,EPA 351.2,Saltwater,FALSE,TRUE,Saltwater Water Quality
60,Total Kjeldahl nitrogen - EPA 351.2,Total Kjeldahl nitrogen,EPA 351.2,Freshwater,TRUE,FALSE,Freshwater Water Quality
61,Total Kjeldahl nitrogen - SM 4500-N,Total Kjeldahl nitrogen,SM 4500-N,Saltwater,FALSE,TRUE,Saltwater Water Quality
62,Total Kjeldahl nitrogen - SM 4500-N,Total Kjeldahl nitrogen,SM 4500-N,Freshwater,TRUE,FALSE,Freshwater Water Quality
63,Total nitrogen - SM 4500-N,Total nitrogen,SM 4500-N,Freshwater,TRUE,FALSE,Freshwater Water Quality
64,Total nitrogen - SM 4500-N,Total nitrogen,SM 4500-N,Saltwater,FALSE,TRUE,Saltwater Water Quality
65,Total nitrogen - USGS 1-4650-03,Total nitrogen,USGS 1-4650-03,Freshwater,TRUE,FALSE,Freshwater Water Quality
66,Total nitrogen - USGS 1-4650-03,Total nitrogen,USGS 1-4650-03,Saltwater,FALSE,TRUE,Saltwater Water Quality
67,Total organic carbon (TOC) - Sediment grab samples,Total organic carbon (TOC),Sediment grab samples,Saltwater,FALSE,TRUE,Saltwater Benthic
68,Total phosphorus - EPA 365.1/365.2/365.3,Total phosphorus,EPA 365.1/365.2/365.3,Freshwater,TRUE,FALSE,Freshwater Water Quality
69,Total phosphorus - EPA 365.1/365.2/365.3,Total phosphorus,EPA 365.1/365.2/365.3,Saltwater,FALSE,TRUE,Saltwater Water Quality
70,Total phosphorus - SM 4500-P,Total phosphorus,SM 4500-P,Freshwater,TRUE,FALSE,Freshwater Water Quality
71,Total phosphorus - SM 4500-P,Total phosphorus,SM 4500-P,Saltwater,FALSE,TRUE,Saltwater Water Quality
72,Total phosphorus - USGS 1-4650-03,Total phosphorus,USGS 1-4650-03,Freshwater,TRUE,FALSE,Freshwater Water Quality
73,Total phosphorus - USGS 1-4650-03,Total phosphorus,USGS 1-4650-03,Saltwater,FALSE,TRUE,Saltwater Water Quality
74,Total suspended solids - EPA 160.2,Total suspended solids,EPA 160.2,Freshwater,TRUE,FALSE,Freshwater Water Quality
75,Total suspended solids - EPA 160.2,Total suspended solids,EPA 160.2,Saltwater,FALSE,TRUE,Saltwater Water Quality
76,Total suspended solids - SM 2540-D,Total suspended solids,SM 2540-D,Freshwater,TRUE,FALSE,Freshwater Water Quality
77,Total suspended solids - SM 2540-D,Total suspended solids,SM 2540-D,Saltwater,FALSE,TRUE,Saltwater Water Quality
78,Turbidity - EPA 180.1,Turbidity,EPA 180.1,Freshwater,TRUE,FALSE,Freshwater Water Quality
79,Turbidity - EPA 180.1,Turbidity,EPA 180.1,Saltwater,FALSE,TRUE,Saltwater Water Quality
80,Turbidity - multi-parameter probe meter,Turbidity,Multi-parameter probe meter,Freshwater,TRUE,FALSE,Freshwater Water Quality
81,Turbidity - multi-parameter probe meter,Turbidity,Multi-parameter probe meter,Saltwater,FALSE,TRUE,Saltwater Water Quality
82,Turbidity - SM 2130-B,Turbidity,SM 2130-B,Freshwater,TRUE,FALSE,Freshwater Water Quality
